Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,env_broad_scale,env_local_scale,env_medium,Experiment,fertilizer_regm,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,host_taxid,Instrument,isol_growth_condt,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,plot,ReleaseDate,Sample Name,SRA Study
SRR10485112,AMPLICON,1616,15767352,PRJNA590305,SAMN13324236,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",7694073,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"bam,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174825,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,42.97 N 89.36 W,ccs_lbc39,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,O301E,2020-01-31T00:00:00Z,G00003057_O301E,SRP230376
SRR10485113,AMPLICON,1612,10958688,PRJNA590305,SAMN13324235,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",5441406,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"bam,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174824,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,42.97 N 89.36 W,ccs_lbc38,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,O301B,2020-01-31T00:00:00Z,G00003056_O301B,SRP230376
SRR10485114,AMPLICON,1589,13401639,PRJNA590305,SAMN13324234,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",6498071,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174823,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,42.97 N 89.36 W,ccs_lbc37,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,O301A,2020-01-31T00:00:00Z,G00003055_O301A,SRP230376
SRR10485115,AMPLICON,1593,14764044,PRJNA590305,SAMN13324233,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",7066644,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174822,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,42.97 N 89.36 W,ccs_lbc36,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,O205G,2020-01-31T00:00:00Z,G00003054_O205G,SRP230376
SRR10485116,AMPLICON,1594,16505892,PRJNA590305,SAMN13324232,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",8000586,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"bam,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174821,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,42.97 N 89.36 W,ccs_lbc35,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,O205E,2020-01-31T00:00:00Z,G00003053_O205E,SRP230376
SRR10485117,AMPLICON,1576,18852049,PRJNA590305,SAMN13324231,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",8996024,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"bam,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174820,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,42.97 N 89.36 W,ccs_lbc34,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,O205B,2020-01-31T00:00:00Z,G00003052_O205B,SRP230376
SRR10485118,AMPLICON,1621,5161652,PRJNA590305,SAMN13324208,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",2576569,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174819,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,45.67 N 89.22 W,ccs_lbc11,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,R302E,2020-01-31T00:00:00Z,G00003029_R302E,SRP230376
SRR10485119,AMPLICON,1585,15190588,PRJNA590305,SAMN13324199,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",7319948,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"bam,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174818,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,45.67 N 89.22 W,ccs_lbc02,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,R101C,2020-01-31T00:00:00Z,G00003020_R101C,SRP230376
SRR10485120,AMPLICON,1603,12230016,PRJNA590305,SAMN13324198,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",5974943,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"bam,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174817,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,45.67 N 89.22 W,ccs_lbc01,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,R101B,2020-01-31T00:00:00Z,G00003019_R101B,SRP230376
SRR10485121,AMPLICON,1566,17306546,PRJNA590305,SAMN13324230,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",8160453,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174816,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,42.97 N 89.36 W,ccs_lbc33,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,O205A,2020-01-31T00:00:00Z,G00003051_O205A,SRP230376
SRR10485122,AMPLICON,1595,18056883,PRJNA590305,SAMN13324229,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",8854685,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174815,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,42.97 N 89.36 W,ccs_lbc32,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,O107G,2020-01-31T00:00:00Z,G00003050_O107G,SRP230376
SRR10485123,AMPLICON,1670,317375,PRJNA590305,SAMN13324228,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",228309,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174814,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,42.97 N 89.36 W,ccs_lbc31,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,O107E,2020-01-31T00:00:00Z,G00003049_O107E,SRP230376
SRR10485124,AMPLICON,1626,7701680,PRJNA590305,SAMN13324201,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",3852963,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174813,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,45.67 N 89.22 W,ccs_lbc04,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,R101G,2020-01-31T00:00:00Z,G00003022_R101G,SRP230376
SRR10485125,AMPLICON,1532,18973289,PRJNA590305,SAMN13324227,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",9038673,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"bam,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174812,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,42.97 N 89.36 W,ccs_lbc30,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,O107B,2020-01-31T00:00:00Z,G00003048_O107B,SRP230376
SRR10485126,AMPLICON,1638,15195872,PRJNA590305,SAMN13324226,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",7477965,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174811,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,42.97 N 89.36 W,ccs_lbc29,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,O107A,2020-01-31T00:00:00Z,G00003047_O107A,SRP230376
SRR10485127,AMPLICON,1582,16554445,PRJNA590305,SAMN13324225,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",7895306,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174810,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,44.12 N 89.53 W,ccs_lbc28,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,H402G,2020-01-31T00:00:00Z,G00003046_H402G,SRP230376
SRR10485128,AMPLICON,1602,16193661,PRJNA590305,SAMN13324224,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",8002524,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174809,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,44.12 N 89.53 W,ccs_lbc27,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,H402E,2020-01-31T00:00:00Z,G00003045_H402E,SRP230376
SRR10485129,AMPLICON,1605,3714196,PRJNA590305,SAMN13324223,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",1838015,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"sra,bam","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174808,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,44.12 N 89.53 W,ccs_lbc26,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,H402C,2020-01-31T00:00:00Z,G00003044_H402C,SRP230376
SRR10485130,AMPLICON,1587,14135740,PRJNA590305,SAMN13324222,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",6811472,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"bam,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174807,"granual ammonium nitrate, 56 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,44.12 N 89.53 W,ccs_lbc25,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,H402A,2020-01-31T00:00:00Z,G00003043_H402A,SRP230376
SRR10485131,AMPLICON,1609,15937739,PRJNA590305,SAMN13324221,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",7880248,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"bam,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174806,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,44.12 N 89.53 W,ccs_lbc24,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,H306G,2020-01-31T00:00:00Z,G00003042_H306G,SRP230376
SRR10485132,AMPLICON,1627,16588653,PRJNA590305,SAMN13324220,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.plant-associated",8148859,UNIVERSITY OF MICHIGAN,2018-08,public,Panicum virgatum variety Cave-in-Rock,"bam,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",15 cm,agriculture biome [ENVO:01001442],area of pastureland or hayfields [ENVO:01000891],soil [ENVO:00001998],SRX7174805,"granual ammonium nitrate, 0 kg/ha annually since 2015",USA,North America,USA: Wisconsin,Panicum virgatum,38727,Sequel,NA,44.12 N 89.53 W,ccs_lbc23,SINGLE,PCR,GENOMIC,Glomeromycotina,PACBIO_SMRT,H306E,2020-01-31T00:00:00Z,G00003041_H306E,SRP230376
